PUTRA,DEWASA,A,MUHAMAD RAFI SABILILLAH,LAWANG
PUTRA,DEWASA,A,KRISNA ADI SAPUTRA,LOWOKWARU
PUTRA,DEWASA,A,ODY DANANG HADI WIJAYA,PG KREBET BARU BULULAWANG
PUTRA,DEWASA,A,FERDI SUSANTO,PG KREBET BARU BULULAWANG
PUTRA,DEWASA,A,FENDRIK NIKKO HENDRAWAN ,SUKUN
PUTRA,DEWASA,A,MUHAMMAD SYAFIK AL FAUZI,SUMAWE
PUTRI,DEWASA,A,SAFIRA NABILA ,UNIVERSITAS NEGERI MALANG 
PUTRI,DEWASA,A,PRAMUDIKA NUR AGUSTINA ,UNIVERSITAS NEGERI MALANG 
PUTRI,DEWASA,A,ELENZI PANDAKA,UNITRI
PUTRA,DEWASA,A,WILHELMUS TANGGU DAGA,UNITRI
PUTRA,DEWASA,A,M FIRDIAN MAULANA,TAJINAN
PUTRI,DEWASA,A,AVINDA FEBIATIN,SMKN 6 MALANG
PUTRA,DEWASA,A,SUMALI,UNMER
PUTRI,DEWASA,B,REFI MARINDA,ITN MALANG
PUTRA,DEWASA,B,RIZAL ALBIAN DENI ,ITN MALANG 
PUTRI,DEWASA,B,AINUN NISA RAMADHANI,LAWANG
PUTRA,DEWASA,B,MUHAMMAD LUTHFAN AUFA FAQIH,LOWOKWARU
PUTRI,DEWASA,B,ALDONA AULIA FITRIYA,LOWOKWARU
PUTRI,DEWASA,B,DIFIA PUTRI AFRIANTI,LOWOKWARU
PUTRA,DEWASA,B,MOHAMMAD ROHID SAPUTRA,PG KREBET BARU BULULAWANG
PUTRI,DEWASA,B,FITRIA DEWI,PG KREBET BARU BULULAWANG
PUTRA,DEWASA,B,M HAMZAH FARHANA AMIN,PG KREBET BARU BULULAWANG
PUTRA,DEWASA,B,WAFIQ IRSANDHI SUKMONO,TUMPANG
PUTRA,DEWASA,B,NURIL ADH-HAR ,UNIVERSITAS NEGERI MALANG 
